Año_Sem,Poblacion_anual,Total_victimas_sem,Año_Sem_ant,Total_victimas_sem_ant,Poblacion_anual_ant
2016 - 1,3059122,66,2015 - 2,,
2016 - 2,3059122,80,2016 - 1,66,3059122
2017 - 1,3063728,75,2016 - 2,80,3059122
2017 - 2,3063728,78,2017 - 1,75,3063728
2018 - 1,3068043,75,2017 - 2,78,3063728
2018 - 2,3068043,85,2018 - 1,75,3068043
2019 - 1,3072029,59,2018 - 2,85,3068043
2019 - 2,3072029,47,2019 - 1,59,3072029
2020 - 1,3075646,30,2019 - 2,47,3072029
2020 - 2,3075646,55,2020 - 1,30,3075646
2021 - 1,3078836,54,2020 - 2,55,3075646
2021 - 2,3078836,42,2021 - 1,54,3078836
