Id	N_Victimas	Fecha_Siniestro	Hora	Lugar_Del_Hecho	Tipo_De_Calle	Comuna	Pos_X	Pos_Y	Victima	Acusado	Rol	Sexo	Edad	Fecha_Fallecimiento	Semestre	Hora_Siniestro	Anio_Siniestro	Mes_Siniestro	Dia_Siniestro	Anio_Fallecimiento	Mes_Fallecimiento	Dia_Fallecimiento	Dia_Semana_Siniestro	Dia_Semana_Fallecimiento
2016-0001	1	01/01/2016	4:00	AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ	AVENIDA	8	-58,47533969	-34,68757022	Moto	Auto	CONDUCTOR	MASCULINO	19	01/01/2016	1	4	2016	1	1	2016	1	1	viernes	viernes
2016-0003	1	03/01/2016	7:00	AV ENTRE RIOS 2034	AVENIDA	1	-58,39040293	-34,63189362	Moto	Auto	CONDUCTOR	MASCULINO	30	03/01/2016	1	7	2016	1	3	2016	1	3	domingo	domingo
2016-0004	1	10/01/2016	0:00	AV LARRAZABAL Y GRAL VILLEGAS CONRADO	AVENIDA	8	-58,46503904	-34,68092974	Moto	Sd	CONDUCTOR	MASCULINO	18	10/01/2016	1	0	2016	1	10	2016	1	10	domingo	domingo
2016-0005	1	21/01/2016	5:20	AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA	AVENIDA	1	-58,38718297	-34,6224663	Moto	Pasajeros	CONDUCTOR	MASCULINO	29	01/02/2016	1	5	2016	1	21	2016	2	1	jueves	lunes
2016-0008	1	24/01/2016	18:30	AV 27 DE FEBRERO Y AV ESCALADA	AVENIDA	8	-58,44451316	-34,68475866	Moto	Objeto Fijo	CONDUCTOR	MASCULINO	30	24/01/2016	1	18	2016	1	24	2016	1	24	domingo	domingo
2016-0010	1	29/01/2016	15:20	AV GENERAL PAZ Y AV DE LOS CORRALES	AVENIDA	9	-58,50877521	-34,66977709	Moto	Auto	CONDUCTOR	MASCULINO	18	29/01/2016	1	15	2016	1	29	2016	1	29	viernes	viernes
2016-0012	1	08/02/2016	1:20	AV BELGRANO Y BERNARDO DE IRIGOYEN	AVENIDA	1	-58,38048577	-34,61303893	Moto	Cargas	CONDUCTOR	MASCULINO	22	08/02/2016	1	1	2016	2	8	2016	2	8	lunes	lunes
2016-0031	1	08/03/2016	12:30	AV GRAL PAZ Y AV CNEL ROCA	AVENIDA	8	-58,47064556	-34,69843756	Moto	Pasajeros	CONDUCTOR	MASCULINO	21	08/03/2016	1	12	2016	3	8	2016	3	8	martes	martes
2016-0035	1	13/03/2016	6:00	AV CORRIENTES Y AV CALLAO	AVENIDA	3	-58,39228965	-34,60443527	Moto	Pasajeros	CONDUCTOR	MASCULINO	34	13/03/2016	1	6	2016	3	13	2016	3	13	domingo	domingo
2016-0037	1	19/03/2016	11:00	AV. EVA PERON Y QUIRNO	AVENIDA	7	-58,46275892	-34,64358293	Moto	Moto	CONDUCTOR	MASCULINO	20	19/03/2016	1	11	2016	3	19	2016	3	19	sabado	sabado
