Comuna,2016,2017,2018,2019,2020,2021
1,128008,128250,128458,128629,128754,128825
2,82978,82895,82824,82766,82723,82699
3,101959,101961,101963,101964,101966,101968
4,124785,124901,125001,125083,125143,125177
5,101100,101134,101164,101189,101206,101217
6,100543,100583,100617,100645,100666,100678
7,127589,127702,127800,127879,127938,127971
8,118538,118786,118999,119173,119300,119372
9,88308,88340,88368,88391,88408,88417
10,90475,90492,90507,90518,90527,90532
11,100357,100345,100334,100326,100320,100316
12,114143,114222,114289,114344,114385,114408
13,128335,128346,128355,128362,128367,128370
14,124369,124356,124346,124337,124331,124327
15,97104,97092,97082,97073,97067,97064
