Id,N_Victimas,Fecha_Siniestro,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Comuna,Pos_X,Pos_Y,Victima,Acusado,Barrios,Rol,Sexo,Edad,Fecha_Fallecimiento,Semestre,Hora_Siniestro,Anio_Siniestro,Mes_Siniestro,Dia_Siniestro,Anio_Fallecimiento,Mes_Fallecimiento,Dia_Fallecimiento,Dia_Semana_Siniestro,Dia_Semana_Fallecimiento
2016-0001,1,2016-01-01,04:00:00,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47533969,-34.68757022,Moto,Auto,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,19,2016-01-01,1,4,2016,1,1,2016,1,1,viernes,viernes
2016-0002,1,2016-01-02,01:15:00,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,9,-58.50877521,-34.66977709,Auto,Pasajeros,"['Liniers', 'Mataderos', 'Parque Avellaneda']",CONDUCTOR,MASCULINO,70,2016-01-02,1,1,2016,1,2,2016,1,2,sÃ¡bado,sÃ¡bado
2016-0003,1,2016-01-03,07:00:00,AV ENTRE RIOS 2034,AVENIDA,1,-58.39040293,-34.63189362,Moto,Auto,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,30,2016-01-03,1,7,2016,1,3,2016,1,3,domingo,domingo
2016-0004,1,2016-01-10,00:00:00,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-58.46503904,-34.68092974,Moto,Sd,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,18,2016-01-10,1,0,2016,1,10,2016,1,10,domingo,domingo
2016-0005,1,2016-01-21,05:20:00,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,-58.38718297,-34.6224663,Moto,Pasajeros,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,29,2016-02-01,1,5,2016,1,21,2016,2,1,jueves,lunes
2016-0008,1,2016-01-24,18:30:00,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,Moto,Objeto Fijo,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,30,2016-01-24,1,18,2016,1,24,2016,1,24,domingo,domingo
2016-0009,1,2016-01-24,19:10:00,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-58.50095869,-34.6082544,Moto,Auto,"['Villa General Mitre', 'Villa Devoto', 'Villa del Parque', 'Villa Santa Rita']",PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26,1,19,2016,1,24,2016,1,26,domingo,martes
2016-0010,1,2016-01-29,15:20:00,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,9,-58.50877521,-34.66977709,Moto,Auto,"['Liniers', 'Mataderos', 'Parque Avellaneda']",CONDUCTOR,MASCULINO,18,2016-01-29,1,15,2016,1,29,2016,1,29,viernes,viernes
2016-0012,1,2016-02-08,01:20:00,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-58.38048577,-34.61303893,Moto,Cargas,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,22,2016-02-08,1,1,2016,2,8,2016,2,8,lunes,lunes
2016-0013,1,2016-02-10,11:30:00,AV ENTRE RIOS 1366,AVENIDA,1,-58.39114932,-34.62477387,Peaton,Auto,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PEATON,MASCULINO,16,2016-02-10,1,11,2016,2,10,2016,2,10,miÃ©rcoles,miÃ©rcoles
2016-0015,1,2016-02-14,05:14:00,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-58.4376002,-34.59912758,Peaton,Auto,"['Chacarita', 'Villa Crespo', 'La Paternal', 'Villa Ortúzar', 'Agronomía', 'Parque Chas']",PEATON,FEMENINO,16,2016-02-14,1,5,2016,2,14,2016,2,14,domingo,domingo
2016-0016,1,2016-02-14,22:00:00,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-58.36882665,-34.64291993,Moto,Auto,"['La Boca', 'Barracas', 'Parque Patricios', 'Nueva Pompeya']",PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,1,22,2016,2,14,2016,2,14,domingo,domingo
2016-0017,1,2016-02-15,16:54:00,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-58.44989671,-34.65970435,Peaton,Moto,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",PEATON,MASCULINO,59,2016-02-16,1,16,2016,2,15,2016,2,16,lunes,martes
2016-0019,1,2016-02-17,09:30:00,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,-58.50990884,-34.65468721,Peaton,Pasajeros,"['Liniers', 'Mataderos', 'Parque Avellaneda']",PEATON,FEMENINO,65,2016-02-17,1,9,2016,2,17,2016,2,17,miÃ©rcoles,miÃ©rcoles
2016-0020,1,2016-02-17,16:00:00,SUIPACHA 156,CALLE,1,-58.37952223,-34.60653282,Peaton,Auto,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PEATON,MASCULINO,59,2016-03-02,1,16,2016,2,17,2016,3,2,miÃ©rcoles,miÃ©rcoles
2016-0021,1,2016-02-17,23:35:00,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,-58.45157703,-34.63063795,Auto,Auto,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,34,2016-02-17,1,23,2016,2,17,2016,2,17,miÃ©rcoles,miÃ©rcoles
2016-0022,1,2016-02-21,06:00:00,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,-58.38144696,-34.61079875,Moto,Auto,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PASAJERO_ACOMPAÑANTE,MASCULINO,41,2016-02-21,1,6,2016,2,21,2016,2,21,domingo,domingo
2016-0025,1,2016-02-28,04:50:00,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,8,-58.46244952,-34.70524971,Auto,Auto,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,1,4,2016,2,28,2016,2,28,domingo,domingo
2016-0026,1,2016-02-28,07:30:00,HOLMBERG Y VEDIA,CALLE,12,-58.49216191,-34.54738649,Auto,Objeto Fijo,"['Coghlan', 'Saavedra', 'Villa Urquiza', 'Villa Pueyrredón']",CONDUCTOR,MASCULINO,30,2016-03-04,1,7,2016,2,28,2016,3,4,domingo,viernes
2016-0027,1,2016-02-28,09:35:00,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,-58.44497874,-34.63852623,Auto,Auto,"['Flores', 'Parque Chacabuco']",PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,1,9,2016,2,28,2016,2,28,domingo,domingo
2016-0028,1,2016-03-02,10:00:00,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,-58.38199706,-34.60028648,Peaton,Cargas,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PEATON,MASCULINO,50,2016-03-02,1,10,2016,3,2,2016,3,2,miÃ©rcoles,miÃ©rcoles
2016-0029,1,2016-03-04,17:30:00,AV CABILDO Y DEHEZA,AVENIDA,12,-58.47378664,-34.54153077,Peaton,Pasajeros,"['Coghlan', 'Saavedra', 'Villa Urquiza', 'Villa Pueyrredón']",PEATON,MASCULINO,38,2016-03-04,1,17,2016,3,4,2016,3,4,viernes,viernes
2016-0031,1,2016-03-08,12:30:00,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,8,-58.47064556,-34.69843756,Moto,Pasajeros,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",CONDUCTOR,MASCULINO,21,2016-03-08,1,12,2016,3,8,2016,3,8,martes,martes
2016-0034,1,2016-03-12,12:30:00,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,Peaton,Pasajeros,"['La Boca', 'Barracas', 'Parque Patricios', 'Nueva Pompeya']",PEATON,MASCULINO,52,2016-03-12,1,12,2016,3,12,2016,3,12,sÃ¡bado,sÃ¡bado
2016-0035,1,2016-03-13,06:00:00,AV CORRIENTES Y AV CALLAO,AVENIDA,3,-58.39228965,-34.60443527,Moto,Pasajeros,"['Balvanera', 'San Cristóbal']",CONDUCTOR,MASCULINO,34,2016-03-13,1,6,2016,3,13,2016,3,13,domingo,domingo
2016-0036,1,2016-03-14,00:15:00,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,-58.37813396,-34.63668504,Moto,Pasajeros,"['La Boca', 'Barracas', 'Parque Patricios', 'Nueva Pompeya']",PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14,1,0,2016,3,14,2016,3,14,lunes,lunes
2016-0037,1,2016-03-19,11:00:00,AV. EVA PERON Y QUIRNO,AVENIDA,7,-58.46275892,-34.64358293,Moto,Moto,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,20,2016-03-19,1,11,2016,3,19,2016,3,19,sÃ¡bado,sÃ¡bado
2016-0038,1,2016-03-21,08:06:00,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,8,-58.49683458,-34.67892743,Peaton,Pasajeros,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",PEATON,MASCULINO,29,2016-03-21,1,8,2016,3,21,2016,3,21,lunes,lunes
2016-0039,1,2016-03-23,01:50:00,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,-58.40603217,-34.6088396,Moto,Pasajeros,"['Balvanera', 'San Cristóbal']",CONDUCTOR,MASCULINO,20,2016-03-23,1,1,2016,3,23,2016,3,23,miÃ©rcoles,miÃ©rcoles
2016-0041,2,2016-03-29,11:00:00,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,Moto,Cargas,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,54,2016-03-29,1,11,2016,3,29,2016,3,29,martes,martes
2016-0041,2,2016-03-29,11:00:00,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,Moto,Cargas,"['Flores', 'Parque Chacabuco']",PASAJERO_ACOMPAÑANTE,MASCULINO,42,2016-03-30,1,11,2016,3,29,2016,3,30,martes,miÃ©rcoles
2016-0043,1,2016-03-30,18:15:00,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,-58.47832463,-34.67494416,Peaton,Cargas,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",PEATON,FEMENINO,56,2016-03-30,1,18,2016,3,30,2016,3,30,miÃ©rcoles,miÃ©rcoles
2016-0044,1,2016-03-31,19:40:00,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,-58.43213235,-34.63693953,Moto,Multiple,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,24,2016-03-31,1,19,2016,3,31,2016,3,31,jueves,jueves
